hours_studied,attendance,parental_involvement,access_to_resources,extracurricular_activities,sleep_hours,previous_scores,motivation_level,internet_access,tutoring_sessions,family_income,teacher_quality,school_type,peer_influence,physical_activity,learning_disabilities,parental_education_level,distance_from_home,gender,exam_score,gender_Female,gender_Male,school_type_Private,school_type_Public,peer_influence_Negative,peer_influence_Neutral,peer_influence_Positive,internet_access_No,internet_access_Yes,parental_involvement_encoded,access_to_resources_encoded,motivation_level_encoded,family_income_encoded,teacher_quality_encoded,study_level,attendance_level,sleep_category,hours_studied_scaled,attendance_scaled,sleep_hours_scaled,previous_scores_scaled,tutoring_sessions_scaled,study_effort,learning_efficiency,activity_study_balance,tutoring_study_impact
25,73,Medium,High,Yes,7,91,Medium,Yes,0,Medium,High,Public,Neutral,4,No,Unknown,Near,Female,70,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2,1,1,2,High,Average,Normal Sleep,0.8388234652712269,-0.6042858961622058,-0.01979557715729433,1.1063133998021608,-1.213934457288018,1825,2275,100,0
16,81,Medium,Medium,Yes,8,57,High,Yes,1,Medium,Medium,Private,Positive,2,No,High School,Near,Male,66,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,2,1,1,Medium,Average,Healthy Sleep,-0.6636453495797573,0.08855868794949777,0.6613991013752177,-1.2550117764967745,-0.40124168605466753,1296,912,32,16
22,68,High,Medium,No,8,96,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,Postgraduate,Moderate,Female,68,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1,1,1,1,High,Poor,Healthy Sleep,0.3380005269875655,-1.0373137612320207,0.6613991013752177,1.453567102199063,-0.40124168605466753,1496,2112,66,22
22,92,Medium,Low,Yes,7,74,High,Yes,2,Medium,Low,Public,Positive,4,No,College,Moderate,Male,70,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0,2,1,0,High,Good,Normal Sleep,0.3380005269875655,1.0412199911030902,-0.01979557715729433,-0.07434918834730689,0.41145108517868284,2024,1628,88,44
9,91,Medium,Medium,No,10,59,High,Yes,0,Low,Medium,Private,Positive,2,No,College,Moderate,Male,64,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,2,0,1,Low,Good,Healthy Sleep,-1.8322322055749671,0.9546144180891273,2.023788458440242,-1.1161102955380136,-1.213934457288018,819,531,18,0
32,66,High,High,Yes,10,77,High,Yes,3,Medium,Medium,Public,Neutral,1,No,College,Near,Male,71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,2,2,1,1,High,Poor,Healthy Sleep,2.0074103212664367,-1.2105249072599464,2.023788458440242,0.13400303309083447,1.2241438564120333,2112,2464,32,96
28,79,Medium,High,Yes,9,94,Low,Yes,2,Low,Medium,Private,Positive,5,No,College,Near,Male,72,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,0,0,1,High,Average,Healthy Sleep,1.3396464035548883,-0.08465245807842814,1.3425937799077299,1.314665621240302,0.41145108517868284,2212,2632,140,56
18,91,High,Medium,Yes,6,69,Medium,Yes,5,Low,High,Public,Positive,2,No,High School,Near,Male,71,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1,1,0,2,Medium,Good,Normal Sleep,-0.329763390723983,0.9546144180891273,-0.7009902556898064,-0.42160289074420915,2.849529398878734,1638,1242,36,90
13,73,Medium,Low,No,9,59,Medium,Yes,0,Medium,High,Public,Neutral,4,No,Postgraduate,Near,Male,63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,1,1,2,Medium,Average,Healthy Sleep,-1.1644682878634187,-0.6042858961622058,1.3425937799077299,-1.1161102955380136,-1.213934457288018,949,767,52,0
22,85,Low,Medium,Yes,4,79,Medium,Yes,1,High,Low,Public,Positive,2,No,College,Near,Male,68,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1,2,0,High,Average,Low Sleep,0.3380005269875655,0.43498098000534957,-2.0633796127548307,0.27290451404959537,-0.40124168605466753,1870,1738,44,22
21,62,Medium,Medium,No,9,92,Medium,Yes,1,Medium,Medium,Private,Positive,4,Yes,High School,Near,Male,63,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,1,High,Poor,Healthy Sleep,0.17105954755967837,-1.5569471993157984,1.3425937799077299,1.175764140281541,-0.40124168605466753,1302,1932,84,21
22,84,Medium,Medium,No,4,56,Medium,Yes,0,High,Low,Private,Positive,2,No,High School,Moderate,Male,66,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,2,0,High,Average,Low Sleep,0.3380005269875655,0.34837540699138664,-2.0633796127548307,-1.324462516976155,-1.213934457288018,1848,1232,44,0
21,66,Medium,Medium,Yes,7,52,High,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Far,Female,63,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,2,1,1,High,Poor,Normal Sleep,0.17105954755967837,-1.2105249072599464,-0.01979557715729433,-1.6022654788936768,-0.40124168605466753,1386,1092,63,21
23,93,High,High,No,9,53,High,Yes,1,Low,Medium,Private,Neutral,4,No,College,Near,Female,72,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2,2,0,1,High,Good,Healthy Sleep,0.5049415064154527,1.1278255641170531,1.3425937799077299,-1.5328147384142963,-0.40124168605466753,2139,1219,92,23
29,74,Medium,High,Yes,8,62,High,Yes,3,Low,High,Public,Positive,3,Yes,Postgraduate,Moderate,Male,70,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,2,0,2,High,Average,Healthy Sleep,1.5065873829827754,-0.5176803231482429,0.6613991013752177,-0.9077580740998723,1.2241438564120333,2146,1798,87,87
23,71,Medium,Medium,Yes,5,50,Medium,Yes,1,Low,High,Public,Positive,1,No,College,Near,Female,65,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0,2,High,Average,Low Sleep,0.5049415064154527,-0.7774970421901317,-1.3821849342223185,-1.7411669598524377,-0.40124168605466753,1633,1150,23,23
14,94,Medium,High,Yes,7,71,Medium,Yes,0,Medium,Medium,Private,Negative,3,Yes,College,Moderate,Female,67,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2,1,1,1,Medium,Good,Normal Sleep,-0.9975273084355315,1.2144311371310161,-0.01979557715729433,-0.2827014097854482,-1.213934457288018,1316,994,42,0
28,62,Low,High,No,8,85,Medium,Yes,2,Low,High,Public,Positive,3,No,High School,Moderate,Female,66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,2,1,0,2,High,Poor,Healthy Sleep,1.3396464035548883,-1.5569471993157984,0.6613991013752177,0.6896089569258781,0.41145108517868284,1736,2380,84,56
30,76,Medium,Medium,Yes,7,86,Medium,Yes,1,Medium,High,Public,Neutral,2,Yes,Postgraduate,Far,Male,69,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,2,High,Average,Normal Sleep,1.6735283624106625,-0.344469177120317,-0.01979557715729433,0.7590596974052585,-0.40124168605466753,2280,2580,60,30
39,75,Medium,High,Yes,6,82,High,Yes,1,High,Low,Public,Negative,3,No,College,Near,Male,73,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,2,2,2,0,High,Average,Normal Sleep,3.1759971772616464,-0.4310747501342799,-0.7009902556898064,0.48125673548773673,-0.40124168605466753,2925,3198,117,39
13,71,Medium,High,Yes,8,65,High,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Female,66,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2,2,1,1,Medium,Average,Healthy Sleep,-1.1644682878634187,-0.7774970421901317,0.6613991013752177,-0.6994058526617309,0.41145108517868284,923,845,52,26
21,96,Medium,Medium,Yes,9,87,Medium,Yes,0,Medium,Medium,Public,Neutral,6,Yes,High School,Near,Female,70,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,1,High,Good,Healthy Sleep,0.17105954755967837,1.3876422831589421,1.3425937799077299,0.828510437884639,-1.213934457288018,2016,1827,126,0
8,90,High,High,No,7,79,High,Yes,2,Low,Medium,Public,Negative,4,No,College,Near,Male,68,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2,2,0,1,Low,Good,Normal Sleep,-1.9991731850028542,0.8680088450751643,-0.01979557715729433,0.27290451404959537,0.41145108517868284,720,632,32,16
23,63,Low,Medium,Yes,9,93,Medium,Yes,2,Medium,High,Private,Positive,2,No,High School,Far,Male,65,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,1,1,2,High,Poor,Healthy Sleep,0.5049415064154527,-1.4703416263018354,1.3425937799077299,1.2452148807609216,0.41145108517868284,1449,2139,46,46
17,89,Medium,Medium,No,7,74,Medium,Yes,1,Low,Medium,Private,Positive,2,No,Postgraduate,Moderate,Female,67,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0,1,Medium,Good,Normal Sleep,-0.49670437015187013,0.7814032720612014,-0.01979557715729433,-0.07434918834730689,-0.40124168605466753,1513,1258,34,17
32,81,High,Medium,No,6,59,High,Yes,2,High,Medium,Public,Neutral,2,No,High School,Moderate,Female,71,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,1,2,2,1,High,Average,Normal Sleep,2.0074103212664367,0.08855868794949777,-0.7009902556898064,-1.1161102955380136,0.41145108517868284,2592,1888,64,64
15,96,High,High,No,9,82,Medium,Yes,2,Low,Low,Private,Neutral,3,No,High School,Near,Female,70,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2,1,0,0,Medium,Good,Healthy Sleep,-0.8305863290076444,1.3876422831589421,1.3425937799077299,0.48125673548773673,0.41145108517868284,1440,1230,45,30
10,73,Medium,Low,Yes,9,58,Low,Yes,5,Low,Medium,Private,Negative,3,No,High School,Moderate,Male,61,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1,Low,Average,Healthy Sleep,-1.66529122614708,-0.6042858961622058,1.3425937799077299,-1.185561036017394,2.849529398878734,730,580,30,50
17,83,High,Medium,Yes,6,98,Medium,Yes,0,Medium,Medium,Public,Positive,3,No,High School,Near,Male,69,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1,1,1,1,Medium,Average,Normal Sleep,-0.49670437015187013,0.26176983397742365,-0.7009902556898064,1.5924685831578238,-1.213934457288018,1411,1666,51,0
8,80,Low,Medium,Yes,6,85,Medium,Yes,1,Low,High,Public,Negative,3,No,Postgraduate,Near,Male,63,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,1,0,2,Low,Average,Normal Sleep,-1.9991731850028542,0.0019531149355348125,-0.7009902556898064,0.6896089569258781,-0.40124168605466753,640,680,24,8
25,80,Medium,Medium,Yes,10,88,Low,Yes,0,Low,High,Private,Negative,2,No,College,Moderate,Male,67,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,2,High,Average,Healthy Sleep,0.8388234652712269,0.0019531149355348125,2.023788458440242,0.8979611783640193,-1.213934457288018,2000,2200,50,0
8,78,High,Medium,Yes,7,84,Medium,Yes,0,Medium,Medium,Public,Positive,2,No,College,Near,Male,65,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1,1,1,1,Low,Average,Normal Sleep,-1.9991731850028542,-0.1712580310923911,-0.01979557715729433,0.6201582164464976,-1.213934457288018,624,672,16,0
20,68,High,Medium,Yes,7,55,High,Yes,0,Low,Low,Public,Positive,3,Yes,High School,Near,Female,63,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1,2,0,0,Medium,Poor,Normal Sleep,0.0041185681317912485,-1.0373137612320207,-0.01979557715729433,-1.3939132574555355,-1.213934457288018,1360,1100,60,0
8,90,Medium,Medium,No,7,73,High,Yes,3,High,Low,Private,Negative,4,No,Postgraduate,Near,Male,67,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,2,2,0,Low,Good,Normal Sleep,-1.9991731850028542,0.8680088450751643,-0.01979557715729433,-0.14379992882668732,1.2241438564120333,720,584,32,24
18,78,Low,High,Yes,9,83,Medium,Yes,2,Low,Medium,Private,Negative,2,No,Postgraduate,Moderate,Female,66,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,2,1,0,1,Medium,Average,Healthy Sleep,-0.329763390723983,-0.1712580310923911,1.3425937799077299,0.5507074759671171,0.41145108517868284,1404,1494,36,36
30,98,Low,Medium,Yes,10,61,Medium,Yes,0,Low,Medium,Public,Positive,3,No,Postgraduate,Moderate,Male,72,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1,0,1,High,Good,Healthy Sleep,1.6735283624106625,1.5608534291868679,2.023788458440242,-0.9772088145792527,-1.213934457288018,2940,1830,90,0
22,70,Medium,High,No,7,84,Low,Yes,3,Low,High,Public,Positive,5,No,High School,Near,Male,68,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,0,0,2,High,Poor,Normal Sleep,0.3380005269875655,-0.8641026152040947,-0.01979557715729433,0.6201582164464976,1.2241438564120333,1540,1848,110,66
15,87,High,Medium,Yes,10,91,Medium,Yes,1,Low,Low,Public,Neutral,4,No,High School,Moderate,Male,67,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,1,1,0,0,Medium,Good,Healthy Sleep,-0.8305863290076444,0.6081921260332754,2.023788458440242,1.1063133998021608,-0.40124168605466753,1305,1365,60,15
20,98,Medium,Medium,Yes,6,64,Medium,Yes,1,High,High,Private,Positive,3,No,Postgraduate,Moderate,Male,72,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,2,2,Medium,Good,Normal Sleep,0.0041185681317912485,1.5608534291868679,-0.7009902556898064,-0.7688565931411113,-0.40124168605466753,1960,1280,60,20
20,87,Medium,High,Yes,7,60,Medium,Yes,0,Low,Medium,Public,Positive,2,Yes,High School,Far,Female,66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,1,0,1,Medium,Good,Normal Sleep,0.0041185681317912485,0.6081921260332754,-0.01979557715729433,-1.046659555058633,-1.213934457288018,1740,1200,40,0
23,95,Medium,Medium,Yes,8,94,Medium,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,73,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,1,High,Good,Healthy Sleep,0.5049415064154527,1.3010367101449791,0.6613991013752177,1.314665621240302,-0.40124168605466753,2185,2162,92,23
12,93,High,High,Yes,6,50,Low,Yes,4,High,High,Public,Positive,3,No,Postgraduate,Moderate,Male,71,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,2,0,2,2,Medium,Good,Normal Sleep,-1.3314092672913058,1.1278255641170531,-0.7009902556898064,-1.7411669598524377,2.0368366276453838,1116,600,36,48
24,74,Low,Low,Yes,8,63,High,Yes,1,Low,High,Public,Positive,3,No,High School,Moderate,Male,65,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,2,0,2,High,Average,Healthy Sleep,0.6718824858433398,-0.5176803231482429,0.6613991013752177,-0.8383073336204918,-0.40124168605466753,1776,1512,72,24
4,84,Medium,Medium,Yes,6,70,Medium,Yes,5,Medium,High,Private,Neutral,4,No,High School,Near,Male,65,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,2,Low,Average,Normal Sleep,-2.6669371027144027,0.34837540699138664,-0.7009902556898064,-0.35215215026482866,2.849529398878734,336,280,16,20
16,66,High,Medium,Yes,5,84,Medium,Yes,2,Medium,Medium,Private,Neutral,3,No,High School,Near,Female,65,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1,1,1,1,Medium,Poor,Low Sleep,-0.6636453495797573,-1.2105249072599464,-1.3821849342223185,0.6201582164464976,0.41145108517868284,1056,1344,48,32
17,81,Medium,Medium,Yes,4,100,Low,Yes,2,Medium,High,Private,Neutral,2,No,College,Near,Male,68,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0,1,2,Medium,Average,Low Sleep,-0.49670437015187013,0.08855868794949777,-2.0633796127548307,1.7313700641165848,0.41145108517868284,1377,1700,34,34
24,69,High,Medium,No,7,69,Medium,No,7,High,Medium,Public,Positive,3,No,College,Near,Female,70,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,1,1,2,1,High,Poor,Normal Sleep,0.6718824858433398,-0.9507081882180577,-0.01979557715729433,-0.42160289074420915,4.474914941345435,1656,1656,72,168
20,90,Medium,Low,Yes,8,97,Low,Yes,1,Medium,Low,Private,Neutral,2,No,High School,Near,Female,68,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,0,Medium,Good,Healthy Sleep,0.0041185681317912485,0.8680088450751643,0.6613991013752177,1.5230178426784435,-0.40124168605466753,1800,1940,40,20
12,81,Low,Medium,Yes,5,68,High,Yes,0,Low,High,Private,Negative,2,No,High School,Near,Male,62,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,2,0,2,Medium,Average,Low Sleep,-1.3314092672913058,0.08855868794949777,-1.3821849342223185,-0.4910536312235896,-1.213934457288018,972,816,24,0
14,76,Medium,Medium,No,7,85,High,Yes,3,Low,Medium,Private,Neutral,3,No,College,Near,Male,66,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,2,0,1,Medium,Average,Normal Sleep,-0.9975273084355315,-0.344469177120317,-0.01979557715729433,0.6896089569258781,1.2241438564120333,1064,1190,42,42
21,71,Medium,Medium,No,7,58,Low,Yes,3,Low,Medium,Public,Negative,5,No,College,Near,Female,65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1,High,Average,Normal Sleep,0.17105954755967837,-0.7774970421901317,-0.01979557715729433,-1.185561036017394,1.2241438564120333,1491,1218,105,63
20,100,Medium,Medium,Yes,7,73,Medium,Yes,1,Low,Medium,Public,Neutral,4,No,College,Near,Female,71,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,0,1,Medium,Good,Normal Sleep,0.0041185681317912485,1.7340645752147938,-0.01979557715729433,-0.14379992882668732,-0.40124168605466753,2000,1460,80,20
17,63,Medium,Medium,No,6,94,Low,Yes,0,Medium,Medium,Public,Negative,2,No,High School,Moderate,Male,61,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,0,1,1,Medium,Poor,Normal Sleep,-0.49670437015187013,-1.4703416263018354,-0.7009902556898064,1.314665621240302,-1.213934457288018,1071,1598,34,0
17,62,Medium,Medium,No,7,66,High,Yes,2,High,Medium,Public,Neutral,4,No,High School,Moderate,Male,63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,2,2,1,Medium,Poor,Normal Sleep,-0.49670437015187013,-1.5569471993157984,-0.01979557715729433,-0.6299551121823505,0.41145108517868284,1054,1122,68,34
24,69,Medium,High,Yes,7,55,Low,Yes,3,Medium,High,Public,Neutral,4,No,High School,Near,Male,67,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2,0,1,2,High,Poor,Normal Sleep,0.6718824858433398,-0.9507081882180577,-0.01979557715729433,-1.3939132574555355,1.2241438564120333,1656,1320,96,72
17,99,Medium,Medium,No,8,76,Low,No,2,High,Medium,Public,Positive,4,No,Postgraduate,Near,Male,70,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,2,1,Medium,Good,Healthy Sleep,-0.49670437015187013,1.6474590022008309,0.6613991013752177,0.06455229261145401,0.41145108517868284,1683,1292,68,34
19,99,Medium,Medium,Yes,5,72,Low,Yes,3,Medium,High,Private,Neutral,4,No,Postgraduate,Near,Male,73,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0,1,2,Medium,Good,Low Sleep,-0.16282241129609587,1.6474590022008309,-1.3821849342223185,-0.21325066930606779,1.2241438564120333,1881,1368,76,57
33,86,Medium,Medium,No,7,61,Medium,Yes,1,High,Unknown,Public,Positive,3,No,High School,Near,Male,72,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,2,-1,High,Good,Normal Sleep,2.174351300694324,0.5215865530193126,-0.01979557715729433,-0.9772088145792527,-0.40124168605466753,2838,2013,99,33
11,95,Medium,Medium,Yes,5,95,Low,Yes,1,Low,High,Public,Positive,3,No,Postgraduate,Near,Male,69,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,0,2,Medium,Good,Low Sleep,-1.498350246719193,1.3010367101449791,-1.3821849342223185,1.3841163617196826,-0.40124168605466753,1045,1045,33,11
9,69,Low,Medium,Yes,7,80,Medium,Yes,1,Medium,Medium,Private,Neutral,3,No,College,Moderate,Male,61,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1,1,1,Low,Poor,Normal Sleep,-1.8322322055749671,-0.9507081882180577,-0.01979557715729433,0.3423552545289758,-0.40124168605466753,621,720,27,9
25,99,Medium,Medium,No,5,67,Medium,Yes,1,Low,High,Public,Neutral,3,No,Unknown,Near,Male,71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,0,2,High,Good,Low Sleep,0.8388234652712269,1.6474590022008309,-1.3821849342223185,-0.5605043717029701,-0.40124168605466753,2475,1675,75,25
16,66,Medium,Medium,Yes,6,100,Medium,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,64,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,1,Medium,Poor,Normal Sleep,-0.6636453495797573,-1.2105249072599464,-0.7009902556898064,1.7313700641165848,-0.40124168605466753,1056,1600,48,16
18,64,Low,Medium,Yes,7,57,Medium,Yes,1,High,Medium,Public,Neutral,3,No,High School,Moderate,Male,61,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,1,1,2,1,Medium,Poor,Normal Sleep,-0.329763390723983,-1.3837360532878724,-0.01979557715729433,-1.2550117764967745,-0.40124168605466753,1152,1026,54,18
15,64,Medium,Medium,No,6,92,Low,Yes,3,Low,Medium,Public,Negative,4,No,College,Near,Female,63,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1,Medium,Poor,Normal Sleep,-0.8305863290076444,-1.3837360532878724,-0.7009902556898064,1.175764140281541,1.2241438564120333,960,1380,60,45
18,83,Medium,Low,Yes,9,62,High,Yes,2,Low,Medium,Public,Negative,2,No,High School,Near,Male,65,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,2,0,1,Medium,Average,Healthy Sleep,-0.329763390723983,0.26176983397742365,1.3425937799077299,-0.9077580740998723,0.41145108517868284,1494,1116,36,36
30,91,High,Medium,No,9,62,Low,Yes,3,Low,High,Public,Negative,4,No,Postgraduate,Near,Female,73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,1,0,0,2,High,Good,Healthy Sleep,1.6735283624106625,0.9546144180891273,1.3425937799077299,-0.9077580740998723,1.2241438564120333,2730,1860,120,90
25,75,Medium,Low,Yes,8,75,High,Yes,2,High,High,Private,Negative,4,Yes,Postgraduate,Near,Male,68,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,2,2,2,High,Average,Healthy Sleep,0.8388234652712269,-0.4310747501342799,0.6613991013752177,-0.0048984478679264375,0.41145108517868284,1875,1875,100,50
25,99,Medium,Medium,No,8,83,Medium,Yes,1,Medium,Medium,Public,Neutral,2,No,College,Near,Female,72,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,1,High,Good,Healthy Sleep,0.8388234652712269,1.6474590022008309,0.6613991013752177,0.5507074759671171,-0.40124168605466753,2475,2075,50,25
12,77,Low,Low,Yes,7,85,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,College,Far,Male,62,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,1,1,1,Medium,Average,Normal Sleep,-1.3314092672913058,-0.25786360410635406,-0.01979557715729433,0.6896089569258781,-0.40124168605466753,924,1020,36,12
13,66,High,Medium,Yes,9,51,Low,Yes,3,Medium,Medium,Private,Positive,2,No,Postgraduate,Moderate,Male,63,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2,1,0,1,1,Medium,Poor,Healthy Sleep,-1.1644682878634187,-1.2105249072599464,1.3425937799077299,-1.6717162193730573,1.2241438564120333,858,663,26,39
3,79,Low,Medium,Yes,7,64,Low,Yes,0,Medium,Medium,Public,Negative,3,No,Postgraduate,Far,Female,58,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0,1,1,Low,Average,Normal Sleep,-2.8338780821422898,-0.08465245807842814,-0.01979557715729433,-0.7688565931411113,-1.213934457288018,237,192,9,0
15,87,Medium,Medium,No,10,83,Medium,Yes,1,High,High,Private,Positive,3,No,High School,Near,Male,68,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,2,2,Medium,Good,Healthy Sleep,-0.8305863290076444,0.6081921260332754,2.023788458440242,0.5507074759671171,-0.40124168605466753,1305,1245,45,15
26,93,High,High,Yes,6,94,Low,Yes,1,Medium,High,Public,Negative,2,No,High School,Near,Female,74,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2,0,1,2,High,Good,Normal Sleep,1.005764444699114,1.1278255641170531,-0.7009902556898064,1.314665621240302,-0.40124168605466753,2418,2444,52,26
23,78,Medium,Medium,Yes,5,83,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,High School,Near,Male,68,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,1,High,Average,Low Sleep,0.5049415064154527,-0.1712580310923911,-1.3821849342223185,0.5507074759671171,-0.40124168605466753,1794,1909,69,23
19,84,Medium,Medium,Yes,5,63,Medium,Yes,1,High,Medium,Private,Positive,2,No,High School,Near,Male,67,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,2,1,Medium,Average,Low Sleep,-0.16282241129609587,0.34837540699138664,-1.3821849342223185,-0.8383073336204918,-0.40124168605466753,1596,1197,38,19
20,71,Medium,Medium,Yes,5,75,Low,Yes,0,Medium,Medium,Private,Positive,4,No,High School,Near,Male,65,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,1,1,Medium,Average,Low Sleep,0.0041185681317912485,-0.7774970421901317,-1.3821849342223185,-0.0048984478679264375,-1.213934457288018,1420,1500,80,0
16,86,Low,Low,Yes,5,82,Low,Yes,0,Low,Medium,Public,Neutral,4,No,High School,Moderate,Female,63,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,Medium,Good,Low Sleep,-0.6636453495797573,0.5215865530193126,-1.3821849342223185,0.48125673548773673,-1.213934457288018,1376,1312,64,0
